ti_uid,target,indication_mesh_term,combined_max_phase,succ_3_a,year_launch,areas,assoc_source
JAK2-D013921,JAK2,Thrombocytopenia,Launched,TRUE,,hematology,OTG
JAK2-D013922,JAK2,Thrombocytosis,Launched,TRUE,,hematology,OMIM
JAK2-D015535,JAK2,"Arthritis, Psoriatic",Phase III,FALSE,,"musculoskeletal, dermatology",OTG
JAK2-D055728,JAK2,Primary Myelofibrosis,Launched,TRUE,2017,hematology,OTG
KCNH2-D001281,KCNH2,Atrial Fibrillation,Launched,TRUE,2021,"cardiovascular, signs/symptoms",OTG
KCNJ11-D003920,KCNJ11,Diabetes Mellitus,Launched,TRUE,2019,"metabolic, endocrine",OMIM
KCNJ11-D003924,KCNJ11,"Diabetes Mellitus, Type 2",Launched,TRUE,,"metabolic, endocrine",OTG
KIT-D008415,KIT,Mastocytosis,Launched,TRUE,2021,oncology,OMIM
KIT-D013921,KIT,Thrombocytopenia,Launched,TRUE,,hematology,OTG
KIT-D046152,KIT,Gastrointestinal Stromal Tumors,Launched,TRUE,,oncology,OMIM
LHCGR-D011085,LHCGR,Polycystic Ovary Syndrome,Launched,TRUE,,oncology,OTG
LIPA-D015223,LIPA,Wolman Disease,Launched,TRUE,2016,"congenital, metabolic",OMIM
LPL-D008072,LPL,Hyperlipoproteinemia Type I,Launched,TRUE,2015,"congenital, metabolic",OMIM
MAN2B1-D008363,MAN2B1,alpha-Mannosidosis,Launched,TRUE,,"congenital, metabolic",OMIM
MC1R-D010787,MC1R,Photosensitivity Disorders,Phase III,FALSE,,dermatology,OTG
MC4R-D009765,MC4R,Obesity,Launched,TRUE,2022,"metabolic, signs/symptoms",Genebass
MMP9-D003093,MMP9,"Colitis, Ulcerative",Phase III,FALSE,,digestive,OTG
MMP9-D003424,MMP9,Crohn Disease,Phase III,FALSE,,digestive,OTG
MPL-D013921,MPL,Thrombocytopenia,Launched,TRUE,2018,hematology,OMIM
MPL-D016553,MPL,"Purpura, Thrombocytopenic, Idiopathic",Launched,TRUE,2008,"hematology, immune, signs/symptoms",OMIM
MTM1-D020914,MTM1,"Myopathies, Structural, Congenital",Phase III,FALSE,,"musculoskeletal, neurology",OMIM
MTNR1B-D007319,MTNR1B,Sleep Initiation and Maintenance Disorders,Launched,TRUE,2015,"neurology, psychiatry",OTG
MTNR1B-D012893,MTNR1B,Sleep Wake Disorders,Launched,TRUE,2020,"neurology, signs/symptoms, psychiatry",OTG
MTNR1B-D020178,MTNR1B,"Sleep Disorders, Circadian Rhythm",Launched,TRUE,,"neurology, psychiatry",OTG
MTNR1B-D058496,MTNR1B,Smith-Magenis Syndrome,Launched,TRUE,2020,"neurology, congenital",OTG
NFKB1-D003876,NFKB1,"Dermatitis, Atopic",Phase III,FALSE,,"congenital, dermatology, immune",OTG
NPC1L1-D050171,NPC1L1,Dyslipidemias,Launched,TRUE,,metabolic,OTG
NR1H4-D008105,NR1H4,"Liver Cirrhosis, Biliary",Launched,TRUE,,"digestive, signs/symptoms",OMIM
NR3C1-D001249,NR3C1,Asthma,Launched,TRUE,2001,"respiratory, immune",OTG
NR3C1-D029424,NR3C1,"Pulmonary Disease, Chronic Obstructive",Launched,TRUE,2012,respiratory,OTG
NR3C1-D057765,NR3C1,Eosinophilic Esophagitis,Launched,TRUE,,"digestive, hematology, immune",OTG
OPRM1-D009293,OPRM1,Opioid-Related Disorders,Launched,TRUE,,psychiatry,OTG
PCSK9-D006937,PCSK9,Hypercholesterolemia,Launched,TRUE,2018,metabolic,Genebass
PCSK9-D006938,PCSK9,Hyperlipoproteinemia Type II,Launched,TRUE,,"congenital, metabolic",OTG
PCSK9-D006949,PCSK9,Hyperlipidemias,Launched,TRUE,2019,metabolic,OTG
PCSK9-D050197,PCSK9,Atherosclerosis,Launched,TRUE,,cardiovascular,OTG
PDE3A-D020521,PDE3A,Stroke,Phase III,FALSE,,"neurology, cardiovascular",OTG
PGR-D008593,PGR,Menopause,Launched,TRUE,,other,OTG
PIK3CD-D000081207,PIK3CD,Primary Immunodeficiency Diseases,Launched,TRUE,,"congenital, immune",OMIM
PKLR-D000746,PKLR,"Anemia, Hemolytic, Congenital Nonspherocytic",Launched,TRUE,,"hematology, congenital",OMIM
PLA2G7-D001249,PLA2G7,Asthma,Phase III,FALSE,,"respiratory, immune",OMIM
PLG-D009203,PLG,Myocardial Infarction,Launched,TRUE,2003,"cardiovascular, signs/symptoms",OTG
PLG-D013927,PLG,Thrombosis,Launched,TRUE,,cardiovascular,PICCOLO
PPARA-D006937,PPARA,Hypercholesterolemia,Launched,TRUE,,metabolic,PICCOLO
PPARA-D006949,PPARA,Hyperlipidemias,Launched,TRUE,2008,metabolic,PICCOLO
PPARA-D009765,PPARA,Obesity,Launched,TRUE,,"metabolic, signs/symptoms",OTG
PPARA-D015228,PPARA,Hypertriglyceridemia,Launched,TRUE,,metabolic,OTG
PPARA-D050171,PPARA,Dyslipidemias,Launched,TRUE,,metabolic,PICCOLO
PPARG-D003924,PPARG,"Diabetes Mellitus, Type 2",Launched,TRUE,,"metabolic, endocrine",OTG
PPARG-D006949,PPARG,Hyperlipidemias,Launched,TRUE,2013,metabolic,OTG
PPARG-D009765,PPARG,Obesity,Launched,TRUE,,"metabolic, signs/symptoms",Genebass
PPARG-D015228,PPARG,Hypertriglyceridemia,Launched,TRUE,2013,metabolic,Genebass
PPARG-D024821,PPARG,Metabolic Syndrome,Phase III,FALSE,,metabolic,OTG
PPARG-D065626,PPARG,Non-alcoholic Fatty Liver Disease,Launched,TRUE,2020,digestive,OTG
PTGS2-D003093,PTGS2,"Colitis, Ulcerative",Launched,TRUE,2019,digestive,PICCOLO
REN-D006973,REN,Hypertension,Launched,TRUE,,cardiovascular,OTG
RET-D013964,RET,Thyroid Neoplasms,Launched,TRUE,,oncology,OMIM
RET-D018358,RET,Neuroendocrine Tumors,Launched,TRUE,,oncology,OMIM
ROS1-D002289,ROS1,"Carcinoma, Non-Small-Cell Lung",Launched,TRUE,2019,oncology,PICCOLO
RPE65-D012174,RPE65,Retinitis Pigmentosa,Launched,TRUE,2018,"ophthalmology, congenital",OMIM
RPE65-D057130,RPE65,Leber Congenital Amaurosis,Launched,TRUE,,ophthalmology,OMIM
RYR1-D008305,RYR1,Malignant Hyperthermia,Launched,TRUE,2014,signs/symptoms,OMIM
SCN1A-D004827,SCN1A,Epilepsy,Launched,TRUE,,neurology,OMIM
SCN1A-D004828,SCN1A,"Epilepsies, Partial",Launched,TRUE,2019,neurology,OTG
SCN1A-D004829,SCN1A,"Epilepsy, Generalized",Launched,TRUE,2019,neurology,OMIM
SCN1A-D008881,SCN1A,Migraine Disorders,Launched,TRUE,,neurology,OMIM
SCN2A-D001714,SCN2A,Bipolar Disorder,Launched,TRUE,,psychiatry,OTG
SCN2A-D004829,SCN2A,"Epilepsy, Generalized",Launched,TRUE,2019,neurology,OMIM
SCN3A-D004827,SCN3A,Epilepsy,Launched,TRUE,,neurology,OMIM
SCN3A-D004829,SCN3A,"Epilepsy, Generalized",Launched,TRUE,2019,neurology,OMIM
SCN5A-D001281,SCN5A,Atrial Fibrillation,Launched,TRUE,2010,"cardiovascular, signs/symptoms",OMIM
SCN5A-D014693,SCN5A,Ventricular Fibrillation,Launched,TRUE,2009,"cardiovascular, signs/symptoms",OMIM
SCN5A-D017180,SCN5A,"Tachycardia, Ventricular",Launched,TRUE,2009,"cardiovascular, signs/symptoms",OTG
SERPINA1-D019896,SERPINA1,alpha 1-Antitrypsin Deficiency,Launched,TRUE,2010,"digestive, respiratory, congenital, signs/symptoms",OMIM
SERPINC1-D020152,SERPINC1,Antithrombin III Deficiency,Launched,TRUE,2011,"hematology, congenital",OMIM
