cluster,k,note
AD|MR|odds ratio,0,n<2 with CI -> report separately
AD|genetic|odds ratio,1,n<2 with CI -> report separately
AD|observational|hazard ratio,0,n<2 with CI -> report separately
MS|MR|odds ratio,1,n<2 with CI -> report separately
MS|genetic|odds ratio,0,n<2 with CI -> report separately
MS|genetic/cohort|hazard/rate ratio,1,n<2 with CI -> report separately
MS|observational|hazard ratio,0,n<2 with CI -> report separately
MS|observational|odds ratio,1,n<2 with CI -> report separately
MS|observational|risk ratio,0,n<2 with CI -> report separately
